#x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2
75.5986647;-467.932645;8.0199093;7.2800907;-0.7302035;-0.6832297;-5.5012006;484.0635483;-2.3928213;0.0036264;53.764343;-1.6217578
79.7455689;-472.2683376;8.0680291;7.2319709;-0.715005;-0.6991194;-5.4842033;489.9424974;-2.3710777;0.0036251;53.5932765;-1.1796703
83.9852362;-476.508996;8.1132636;7.1867364;-0.6992493;-0.7148779;-5.4623542;495.817179;-2.3493244;0.0036277;53.482267;-0.3945187
88.316551;-480.6511355;8.15763;7.14237;-0.6829258;-0.7304878;-5.4338787;501.6874392;-2.3275579;0.0036238;53.4585772;0.0722194
92.7381202;-484.6921075;8.2027465;7.0972535;-0.6662591;-0.7457204;-5.3972534;507.5553526;-2.3059832;0.0035764;53.4717367;0.2190556
97.2478689;-488.6313121;8.2072035;7.0927965;-0.6493996;-0.7604473;-5.3519339;513.4232371;-2.284628;0.0035474;53.4995016;0.2903125
101.84362;-492.4684583;8.1837896;7.1162104;-0.632364;-0.7746714;-5.2980772;519.2924481;-2.2633795;0.0035421;53.531461;0.2571981
106.5231962;-496.2032548;8.1582638;7.1417362;-0.6151698;-0.7883946;-5.2365923;525.1642453;-2.2420921;0.0035586;53.5565152;0.1561872
111.2844204;-499.8354102;8.131207;7.168793;-0.5978336;-0.8016202;-5.1691298;531.0397632;-2.2206756;0.0035826;53.5693491;0.0487744
116.1251152;-503.3646335;8.1013166;7.1986834;-0.5803712;-0.8143521;-5.0976711;536.920005;-2.1991269;0.0036011;53.5714156;-0.0198606
121.0431035;-506.7906333;8.0711945;7.2288055;-0.5627972;-0.826595;-5.0241024;542.8058498;-2.184713;0.0036074;53.5694536;-0.0322212
126.036208;-510.1131184;8.0451001;7.2548999;-0.5451257;-0.8383544;-4.9499816;548.6980671;-2.1630723;0.0036065;53.5664907;-0.0012304
131.1022515;-513.3317976;8.0245149;7.2754851;-0.5273695;-0.8496361;-4.876475;554.5973318;-2.1414714;0.0035944;53.5686663;0.0701218
136.2390568;-516.4463796;8.0036988;7.2963012;-0.5095436;-0.8604448;-4.8043943;560.5042507;-2.1199726;0.0035661;53.5793621;0.1485135
141.4444484;-519.456193;7.9749832;7.3250168;-0.4914334;-0.8709151;-4.733653;566.4179314;-2.0986806;0.0035542;53.5980729;0.1986815
146.7162723;-522.3561453;7.8165107;7.4834893;-0.472322;-0.8814261;-4.6609552;572.3328362;-2.0773623;0.0035514;53.6208612;0.2031472
152.0523879;-525.1382915;7.6388904;7.6611096;-0.4520998;-0.8919673;-4.5806103;578.2459678;-2.0560595;0.0035532;53.6427629;0.1712149
157.450655;-527.794639;7.4635918;7.8364082;-0.4307089;-0.9024909;-4.4866668;584.1551856;-2.0347285;0.0035598;53.660536;0.1291558
162.9089333;-530.3171953;7.3801781;7.9198219;-0.4080931;-0.9129403;-4.3730571;590.0590298;-2.0133604;0.0035646;53.6739572;0.1034947
168.4250826;-532.6979678;7.4632945;7.8367055;-0.3841984;-0.9232505;-4.2334103;595.9568105;-1.991983;0.0035624;53.6854487;0.1111038
173.9969627;-534.9289639;7.5662649;7.7337351;-0.3589747;-0.9333473;-4.060907;601.8487172;-1.9706485;0.00355;53.6989231;0.1577194
179.6224332;-537.0021912;7.6681347;7.6318653;-0.3323768;-0.9431467;-3.8482015;607.7359417;-1.9494217;0.0035263;53.7186823;0.2394715
185.299354;-538.9096569;7.7385012;7.5614988;-0.3043671;-0.9525548;-3.587392;613.620814;-1.9283722;0.0034906;53.7485871;0.3491527
191.0255849;-540.6433686;7.790334;7.509666;-0.27492;-0.9614671;-3.2700155;619.5069536;-1.9075706;0.0034442;53.7917572;0.483589
196.7989835;-542.1953487;7.8435612;7.4564388;-0.2440723;-0.9697571;-2.8874548;625.3995297;-1.8868134;0.0034608;53.850954;0.6411101
202.6167553;-543.5627148;7.8951455;7.4048545;-0.2138211;-0.9768728;-2.4360352;631.3103856;-1.8665358;0.0033388;53.9285164;0.8133256
208.4745056;-544.755074;7.9453612;7.3546388;-0.1854028;-0.9826626;-1.9222028;637.2473375;-1.8466792;0.0032833;54.0250905;0.9725802
214.3675996;-545.7839117;7.9912984;7.3087016;-0.1588751;-0.9872987;-1.3560681;643.2123412;-1.8271313;0.0032373;54.1374412;1.0772335
220.2914021;-546.6607136;8.0338923;7.2661077;-0.1342838;-0.9909429;-0.7484607;649.2053854;-1.8078097;0.0032081;54.2583401;1.1094744
226.241278;-547.3969651;8.0994448;7.2005552;-0.111655;-0.993747;-0.1110128;655.2246692;-1.7886187;0.0031918;54.3805132;1.0984493
232.2125925;-548.0041517;8.1689677;7.1310323;-0.0909985;-0.995851;0.544004;661.2668573;-1.7695123;0.0031802;54.5008903;1.0798447
238.2007103;-548.493759;8.2368059;7.0631941;-0.072312;-0.9973821;1.2040338;667.327373;-1.7504655;0.0031702;54.6188514;1.0593391
244.2009965;-548.8772726;8.2577453;7.0422547;-0.055585;-0.998454;1.8564949;673.400685;-1.7314921;0.0031561;54.7344146;1.040763
250.2088161;-549.1661779;8.1255338;7.1744662;-0.0408028;-0.9991672;2.4890726;679.4805895;-1.7126079;0.003141;54.8477583;1.0228193
256.2195339;-549.3719605;7.9519818;7.3480182;-0.0279508;-0.9996093;3.0897618;685.560441;-1.6938288;0.0031161;54.9589618;1.0056978
262.2287598;-549.5059018;7.7801909;7.5198091;-0.01685;-0.999858;3.6473817;691.6342385;-1.6751489;0.003125;55.0681252;0.9891272
268.2349492;-549.5769111;7.6112943;7.6887057;-0.0069955;-0.9999755;4.1531077;697.7004423;-1.6564174;0.0031227;55.1753006;0.9727367
274.2383932;-549.5923673;7.4448946;7.8551054;0.0016442;-0.9999986;4.5996727;703.7582449;-1.6376927;0.0031215;55.2805127;0.9565582
280.2394134;-549.5596241;7.3451392;7.9548608;0.009065;-0.9999589;4.9800543;709.8069229;-1.6190037;0.0031053;55.3840314;0.9569128
286.2383312;-549.4860351;7.3678106;7.9321894;0.0152635;-0.9998835;5.2879723;715.8460279;-1.6005736;0.0030297;55.4882086;0.9886494
292.2354684;-549.3789538;7.4015521;7.8984479;0.0202375;-0.9997952;5.5194378;721.8755033;-1.5829225;0.002834;55.5966788;1.0603788
298.2311464;-549.2457338;7.4362311;7.8637689;0.0239859;-0.9997123;5.6751019;727.8957071;-1.5670781;0.0024094;55.713839;1.1690202
304.2256868;-549.0937288;7.4714834;7.8285166;0.0265079;-0.9996486;5.7639789;733.9072897;-1.5547438;0.0016595;55.8427781;1.2734139
310.2194113;-548.9302922;7.5069289;7.7930711;0.0278034;-0.9996134;5.8056943;739.9108921;-1.5475019;0.0007636;55.9811937;1.3186794
316.2126414;-548.7627778;7.5401974;7.7598026;0.0278731;-0.9996115;5.8237698;745.9068954;-1.5450059;0.0001215;56.1223933;1.3131815
322.2056985;-548.5985328;7.5688937;7.7311063;0.0267393;-0.9996424;5.8335625;751.8955989;-1.5453521;-0.0001919;56.2620725;1.2941592
328.1988337;-548.4428312;7.5966773;7.7033227;0.0252276;-0.9996817;5.8405714;757.8819339;-1.546593;-0.0002158;56.3993661;1.2758044
334.1921257;-548.295864;7.6238197;7.6761803;0.0238181;-0.9997163;5.8463298;763.8687918;-1.5478017;-0.000183;56.5344282;1.2587042
340.1856276;-548.1570578;7.6507652;7.6492348;0.0225043;-0.9997467;5.8504596;769.8562172;-1.548783;-0.0001464;56.6673675;1.2417642
346.1793922;-548.0258395;7.6778595;7.6221405;0.021286;-0.9997734;5.852318;775.844288;-1.5496065;-0.0001313;56.7982079;1.2248407
352.1734725;-547.9016355;7.7047208;7.5952792;0.0201632;-0.9997967;5.85194;781.8330826;-1.5504006;-0.0001354;56.9269678;1.2080212
358.1679213;-547.7838728;7.7312402;7.5687598;0.0191358;-0.9998169;5.85002;787.8226761;-1.5512526;-0.0001494;57.0536741;1.1913757
364.1627917;-547.6719779;7.7575242;7.5424758;0.0182039;-0.9998343;5.8476115;793.8131399;-1.5521999;-0.0001666;57.1783598;1.1749417
370.1581366;-547.5653775;7.7835633;7.5164367;0.0173675;-0.9998492;5.8458993;799.804542;-1.5532546;-0.0001853;57.3010603;1.1587087
376.1540087;-547.4634983;7.809131;7.490869;0.0166266;-0.9998618;5.8461419;805.7969483;-1.5544338;-0.0002089;57.4218073;1.1425857
382.1504612;-547.3657671;7.8306671;7.4693329;0.0159813;-0.9998723;5.8497918;811.7904245;-1.5557888;-0.0002453;57.5406197;1.1263494
388.1475469;-547.2716104;7.8427438;7.4572562;0.0154315;-0.9998809;5.8587765;817.7850377;-1.5574275;-0.0003048;57.6574878;1.1095942
394.1453187;-547.1804551;7.8523964;7.4476036;0.0149773;-0.9998878;5.8758422;823.7808621;-1.5595085;-0.0003925;57.7723566;1.0918962
400.1438296;-547.0917277;7.8620559;7.4379441;0.0146185;-0.9998931;5.9046708;829.7779871;-1.5621633;-0.0004918;57.8851419;1.0737909
406.1431324;-547.004855;7.8716551;7.4283449;0.0143553;-0.999897;5.9491981;835.7765265;-1.5653057;-0.000544;57.9958777;1.0585484
412.1432801;-546.9192637;7.8809205;7.4190795;0.0141875;-0.9998994;6.0114308;841.7766067;-1.568332;-0.0004347;58.1050021;1.0502736
418.1443257;-546.8343804;7.8898404;7.4101596;0.0141151;-0.9999004;6.0873427;847.7782959;-1.5698121;-7.8e-06;58.2131431;1.0378661
424.146322;-546.7496318;7.8982446;7.4017554;0.0141381;-0.9999001;6.1616575;853.7814935;-1.5675345;0.0008118;58.3188778;0.9756645
430.149322;-546.6644447;7.9062907;7.3937093;0.0142565;-0.9998984;6.2062904;859.7860115;-1.5597994;0.0017516;58.415924;0.8377492
436.1533786;-546.5782457;7.9127966;7.3872034;0.0144702;-0.9998953;6.1894806;865.7920759;-1.5471751;0.002409;58.4976186;0.679896
442.1585447;-546.4904615;7.9200694;7.3799306;0.0147814;-0.9998907;6.0882402;871.8007071;-1.5316247;0.0027449;58.5637616;0.5579076
448.1648718;-546.4005083;7.9269392;7.3730608;0.0152282;-0.999884;5.8908108;877.8136917;-1.5148306;0.0028373;58.618556;0.4802049
454.1719296;-546.3042363;7.9340654;7.3659346;0.0172301;-0.9998516;5.5957806;883.8402629;-1.4973791;0.002952;58.6645898;0.3899161
460.1781062;-546.1887544;7.942502;7.357498;0.0216136;-0.9997664;5.2119352;889.8834495;-1.4795832;0.0029794;58.7035075;0.356344
466.1816124;-546.0398563;7.9519806;7.3480194;0.0283714;-0.9995975;4.7520098;895.9399601;-1.4616542;0.0029997;58.7385002;0.2885597
472.1806587;-545.8433357;7.9621668;7.3378332;0.0375084;-0.9992963;4.2294513;902.0058099;-1.4435815;0.0030282;58.7647254;0.1569804
478.1734556;-545.5849865;7.9729203;7.3270797;0.0490302;-0.9987973;3.6577751;908.076602;-1.4253155;0.003063;58.7761379;-0.0077477
484.1582138;-545.2506025;7.9853127;7.3146873;0.0629398;-0.9980173;3.0505559;914.1478313;-1.4068467;0.0030941;58.7707799;-0.1545672
490.1331439;-544.8259774;7.9616111;7.3383889;0.0792354;-0.9968559;2.4216873;920.2151715;-1.3882227;0.0031138;58.7517636;-0.2461703
496.0964564;-544.2969049;7.9168025;7.3831975;0.0979059;-0.9951957;1.7855548;926.2747818;-1.3695258;0.0031177;58.7211339;-0.5772598
502.0463619;-543.649179;7.8728936;7.4271064;0.1189278;-0.9929029;1.1570206;932.3236577;-1.3508392;0.0031147;58.6420473;-1.2424455
507.981071;-542.8685933;7.8291399;7.4708601;0.1422672;-0.9898283;0.5508508;938.3600597;-1.3321184;0.0031482;58.4964563;-1.7581322
513.8986575;-541.9417053;7.8058023;7.4941977;0.1672947;-0.9859069;-0.0207007;944.3837498;-1.3130558;0.0031713;58.3062521;-1.9988954
519.7956052;-540.8639493;7.8257175;7.4742825;0.192234;-0.9813491;-0.5535719;950.3948555;-1.2939629;0.0032055;58.0971556;-2.0729075
525.6673722;-539.636487;7.855237;7.444763;0.2169614;-0.9761802;-1.0493324;956.3939162;-1.2746125;0.0032456;57.8814269;-2.1211617
531.5093992;-538.2605756;7.8848809;7.4151191;0.2414863;-0.9704042;-1.5097875;962.3813707;-1.255046;0.0032776;57.6587217;-2.211923
537.3171272;-536.7374723;7.9126763;7.3873237;0.2658205;-0.9640226;-1.9362882;968.3574857;-1.2353046;0.0033045;57.4242935;-2.3373406
543.0859969;-535.0684341;7.936932;7.363068;0.2899757;-0.957034;-2.3298305;974.3223996;-1.2154097;0.0033293;57.1756142;-2.456633
548.8114494;-533.2547182;7.9605626;7.3394374;0.3139632;-0.9494351;-2.6911695;980.2761618;-1.1953663;0.0033543;56.9144037;-2.535985
554.4889254;-531.2975818;7.9770677;7.3229323;0.3377933;-0.9412203;-3.020891;986.2187629;-1.1751708;0.00338;56.6452217;-2.5657024
560.1138658;-529.1982821;7.9284797;7.3715203;0.3614753;-0.9323817;-3.3194359;992.15016;-1.1548187;0.0034064;56.3729726;-2.5568539
565.6817116;-526.9580762;7.8625736;7.4374264;0.3850168;-0.9229096;-3.5870956;998.0703015;-1.1343079;0.0034327;56.1011231;-2.5277317
571.1879222;-524.5782323;7.795288;7.504712;0.4084003;-0.9128029;-3.8241262;1003.9792626;-1.1135993;0.003465;55.831377;-2.4894678
576.6290784;-522.0606866;7.7997203;7.5002797;0.4313149;-0.9022014;-4.0317062;1009.8792008;-1.0927744;0.0034828;55.5647433;-2.4374038
582.0034981;-519.4084104;7.8519476;7.4480524;0.4536566;-0.8911766;-4.212325;1015.7726251;-1.0718109;0.0035076;55.3032059;-2.3523051
587.3096489;-516.6244636;7.9052917;7.3947083;0.4754266;-0.8797554;-4.3687672;1021.6614619;-1.0506975;0.0035326;55.051085;-2.2101501
592.5459981;-513.7119065;7.9575725;7.3424275;0.4966267;-0.8679642;-4.5038012;1027.5473596;-1.0294378;0.0035559;54.8153046;-2.0057189
597.7110133;-510.6737992;7.9291562;7.3708438;0.5172611;-0.8558277;-4.6201091;1033.4316964;-1.0080514;0.0035742;54.6029944;-1.7552553
602.8031619;-507.5132019;7.8262381;7.4737619;0.5373354;-0.8433686;-4.7201704;1039.3155954;-0.9865831;0.0035825;54.4184325;-1.5004668
607.8209113;-504.2331746;7.7244589;7.5755411;0.5568571;-0.8306083;-4.8061058;1045.1999438;-0.9651043;0.0035775;54.2609826;-1.2751387
612.762729;-500.8367777;7.6536291;7.6463709;0.5758349;-0.817566;-4.8795706;1051.0854168;-0.9436879;0.0035631;54.1279371;-1.0522387
617.6270824;-497.3270711;7.6364118;7.6635882;0.5942784;-0.8042594;-4.9418562;1056.9725032;-0.9223576;0.0035508;54.0229506;-0.7281814
